sla_id,service_id,month_year,target_uptime_pct,actual_uptime_pct,sla_met,total_incidents,p1_count,p2_count,mttr_hours,breach_minutes,service_name
66,SRV-002,2026-02,99.9,99.298,False,4,0,1,1.18,283,Claims Processing
67,SRV-003,2026-02,99.9,99.397,False,4,0,1,1.01,243,EHR
68,SRV-004,2026-02,99.5,98.549,False,8,0,3,1.22,585,Appointment Scheduling
69,SRV-005,2026-02,99.9,99.601,False,4,0,0,0.67,161,Billing Engine
70,SRV-006,2026-02,99.5,98.73,False,5,0,1,1.71,512,Lab Results API
71,SRV-007,2026-02,99.0,98.413,False,6,1,0,1.78,640,Notification Service
72,SRV-008,2026-02,99.9,98.405,False,6,1,1,1.79,643,Authentication Service
73,SRV-001,2026-03,99.5,99.355,False,5,0,1,0.96,288,Patient Portal
74,SRV-002,2026-03,99.9,99.371,False,5,0,1,0.94,281,Claims Processing
75,SRV-003,2026-03,99.9,99.545,False,3,0,1,1.13,203,EHR
76,SRV-004,2026-03,99.5,99.12,False,4,0,1,1.64,393,Appointment Scheduling
77,SRV-005,2026-03,99.9,99.346,False,3,0,1,1.62,292,Billing Engine
78,SRV-006,2026-03,99.5,99.337,False,4,0,1,1.23,296,Lab Results API
79,SRV-007,2026-03,99.0,99.18,True,3,0,1,2.03,0,Notification Service
80,SRV-008,2026-03,99.9,99.792,False,2,0,0,0.78,93,Authentication Service
81,SRV-001,2026-04,99.5,98.984,False,7,0,1,1.05,439,Patient Portal
82,SRV-002,2026-04,99.9,99.199,False,6,0,0,0.96,346,Claims Processing
83,SRV-003,2026-04,99.9,98.206,False,11,0,2,1.17,775,EHR
84,SRV-004,2026-04,99.5,99.826,True,2,0,0,0.62,0,Appointment Scheduling
85,SRV-005,2026-04,99.9,99.102,False,5,0,1,1.29,388,Billing Engine
86,SRV-006,2026-04,99.5,98.785,False,4,1,0,2.19,525,Lab Results API
87,SRV-007,2026-04,99.0,98.949,False,5,0,1,1.51,454,Notification Service
88,SRV-008,2026-04,99.9,99.25,False,6,1,1,0.9,324,Authentication Service
89,SRV-001,2026-05,99.5,99.691,True,2,0,1,1.15,0,Patient Portal
90,SRV-002,2026-05,99.9,98.831,False,7,0,1,1.24,522,Claims Processing
91,SRV-003,2026-05,99.9,99.812,False,1,0,0,1.4,84,EHR
92,SRV-004,2026-05,99.5,99.16,False,5,0,0,1.25,375,Appointment Scheduling
93,SRV-005,2026-05,99.9,99.133,False,6,0,0,1.08,387,Billing Engine
94,SRV-006,2026-05,99.5,98.049,False,7,0,4,2.07,871,Lab Results API
95,SRV-007,2026-05,99.0,98.645,False,5,1,2,2.02,605,Notification Service
96,SRV-008,2026-05,99.9,98.376,False,8,2,0,1.51,725,Authentication Service
97,SRV-001,2026-06,99.5,100.0,True,0,0,0,0.0,0,Patient Portal
98,SRV-002,2026-06,99.9,99.37,False,2,0,0,1.06,127,Claims Processing
99,SRV-003,2026-06,99.9,99.777,False,1,0,0,0.75,45,EHR
100,SRV-004,2026-06,99.5,98.289,False,5,0,0,1.15,345,Appointment Scheduling
101,SRV-005,2026-06,99.9,99.082,False,2,1,0,1.54,185,Billing Engine
102,SRV-006,2026-06,99.5,99.514,True,1,0,1,1.63,0,Lab Results API
103,SRV-007,2026-06,99.0,99.182,True,2,0,0,1.38,0,Notification Service
104,SRV-008,2026-06,99.9,99.916,True,1,0,0,0.28,0,Authentication Service
